coolant_flow_L_min,h_old_W_K,h_new_W_K,h_required_median_W_K,valid_case_count,used_default_or_interpolation,same_as_previous_node,decreases_from_previous_node
5.5,836,7.46993520996073,7.46993520996073,1,0,0,0
6,836,1366.11367177959,1366.11367177959,3,0,0,0
6.5,905.666666666667,1231.18115763347,1231.18115763347,1,0,0,1
7.5,1045,1773.22621471143,1773.22621471143,1,0,0,0
9.1,1267.93333333334,1649.73450443692,1649.73450443692,1,0,0,1
10,1393.33333333333,2035.63904370708,2035.63904370708,1,0,0,0
11.1,1546.6,1943.60867524538,1943.60867524538,1,0,0,1
11.5,1602.33333333333,2001.50018943626,2001.50018943626,1,0,0,0
