coolant_flow_L_min,h_old_W_K,h_new_W_K,delta_h_W_K
5.5,836,7.46993520996073,-828.530064790039
6,836,1366.11367177959,530.113671779591
6.5,905.666666666667,1231.18115763347,325.514490966806
7.5,1045,1773.22621471143,728.226214711426
9.1,1267.93333333334,1649.73450443692,381.801171103578
10,1393.33333333333,2035.63904370708,642.305710373755
11.1,1546.6,1943.60867524538,397.008675245375
11.5,1602.33333333333,2001.50018943626,399.166856102933
