dataset,rows,stack_T_rmse_C,stack_T_max_abs_C,stack_out_T_rmse_C,stack_out_T_max_abs_C
baseline,21,4.18636890822938,7.82663646913049,8.37273781645876,15.653272938261
fitted,21,0.646356682220988,1.55126732035338,1.29271336444198,3.10253464070675
