dataset,rows,egr_delta_weight,rmse_V,max_abs_err_V,mean_err_V,corr_err_vs_egr_fraction,corr_err_vs_xO2In,stack_out_T_rmse_C,stack_out_T_max_abs_C,stack_in_RH_rmse,stack_in_RH_max_abs,stack_out_p_rmse_kPa,cathode_dp_rmse_kPa,egr_return_T_rmse_C,egr_return_RH_rmse,egr_return_p_rmse_kPa,corr_Verr_vs_stack_out_Terr,corr_Verr_vs_egr_return_RHerr
noEGR_fit,17,0.6,0.00432307366222098,0.00788030067320444,-0.000416587769465065,NaN,0.172642162008758,1.48199994637796,3.11793380716431,0.0159726438148386,0.0635088049658599,0,2.08741380942534e-14,NaN,NaN,NaN,0.495456280941661,NaN
EGR_validation,12,0.6,0.0106341071327646,0.0187223519185047,0.0066705696875873,0.172541037095601,-0.171175220255267,0.460140489070269,1.08436347267814,0.0261026387656608,0.0570759443198091,0,1.30667165796834e-14,0,0.115313489381483,0,-0.00975476185592331,0.33406325405155
