startId,source,rmseStart,rmseAfter,maxAbsAfter,theta1_act,theta2_act,theta3_act,theta4_act,sigma_pem_correction
50,random,0.0985204492798125,0.00213973056805961,0.00648036592908996,1.26629285341225,-0.00255193361003262,-5.01957899225594e-05,0.000141331902204569,0.375358603915945
13,random,1.5601222213273,0.00217120503598954,0.00659776810693591,1.27785542777492,-0.00258501694212409,-5.03584715594711e-05,0.000142615913417666,0.376621317069249
11,random,1.53917296912949,0.00217325905718429,0.0066195392542987,1.27788721062555,-0.00258416336337261,-5.00811546378113e-05,0.000142540960077197,0.376269513723738
60,random,2.04573598774004,0.00218513392604766,0.0066671440702234,1.28181420670265,-0.00259492019491122,-5.00104374914492e-05,0.000142964919448763,0.376623290146114
65,random,1.41115429496529,0.002189064687079,0.00668295737449032,1.28313499887906,-0.00259860464706763,-5.00000977085822e-05,0.000143101679526473,0.376724950504685
56,random,0.153233265806831,0.00218909420331315,0.00668308604520373,1.28314484249116,-0.00259863213540943,-5e-05,0.000143102639540624,0.376725526183953
43,random,1.23891167013474,0.00218909442506653,0.00668308553572017,1.28314491957074,-0.00259863235421892,-5.00000010879078e-05,0.000143102650792881,0.376725531358228
47,random,0.934125821435229,0.00219169316840338,0.00669042804998721,1.28405786922543,-0.00260120592991943,-5.00097645243371e-05,0.000143217702402596,0.376865419593218
33,random,1.28464534543855,0.00281291801585128,0.00533528919346771,1.47362051555587,-0.00352791368371843,-0.000141521922301869,0.000151038337117921,0.374870230250869
7,random,0.513596553361676,0.00359900776226614,0.00659839176449506,1.09551868878417,-0.00236285900429101,-0.000124002693649516,0.000120408885917159,0.38537131113381
53,random,2.23667035457344,0.00366164521624176,0.00710291006895225,1.39360125344223,-0.0038108532897066,-0.000253933043362528,0.000115778723679567,0.314563276151598
51,random,0.518073569288394,0.00408059530830848,0.00745661482571303,1.30309824154042,-0.0036764725617507,-0.000282134900713623,0.000102656478283432,0.305615610316137
63,random,1.02275135058417,0.00424420818832569,0.00762917605871094,1.38321380959819,-0.00395236263572237,-0.000292558495443907,0.000107168069555765,0.303215196692128
23,random,1.067434022865,0.00428371259004901,0.00861690379424329,1.64101087445733,-0.00455688084635166,-0.000267191452502114,0.000143901359324347,0.337875320039369
4,random,0.181411825132818,0.00429460822878876,0.00791712851751203,1.41541733559396,-0.00405379670018325,-0.000294947070117259,0.000110113753090101,0.304150974208006
61,random,1.47245981082265,0.00429460833469194,0.00791712893968632,1.41541729847951,-0.00405379663353699,-0.00029494707806106,0.000110113747248803,0.304150966245299
55,random,1.75096536957348,0.00429460835501683,0.00791712890968344,1.4154173906559,-0.00405379688284075,-0.000294947076433749,0.000110113758012716,0.304150973629015
5,random,2.46679042902192,0.00429460836624753,0.00791712964957914,1.41541738623944,-0.00405379687448329,-0.000294947077271253,0.000110113758488135,0.304150974024969
17,random,0.109609673006653,0.00429460840002354,0.00791712901070774,1.41541738960395,-0.00405379689300888,-0.000294947079366096,0.000110113757031761,0.304150975814694
58,random,2.4769226915504,0.00429460841968843,0.00791712939679212,1.41541740097782,-0.00405379693559705,-0.000294947080222438,0.000110113755168496,0.304150967820915
62,random,0.874879593389101,0.00429460842689078,0.00791712947726975,1.41541739487317,-0.00405379691866452,-0.00029494708088832,0.000110113755942223,0.304150970969604
6,random,2.03033322026691,0.00429460845602337,0.00791712888156126,1.41541744493034,-0.00405379706085724,-0.000294947081180567,0.00011011375960587,0.304150972575887
14,random,0.604950622441493,0.00429460852781182,0.00791713055239018,1.41541749518476,-0.00405379722213371,-0.00029494708411279,0.000110113762966736,0.304150970106468
39,random,2.54836700324217,0.00429460856047976,0.00791712987352167,1.41541740083766,-0.00405379697519027,-0.000294947089246111,0.000110113753826012,0.304150966923989
57,random,1.72524777340193,0.00429702739470616,0.00792132260000433,1.41577666232088,-0.00405547149779791,-0.000295090468302229,0.000110108084856622,0.304101595765342
46,random,1.54775822637427,0.00430015300762001,0.00799402218614764,1.42815481425484,-0.00408935399241033,-0.000294859037575632,0.000111435479795551,0.304821598237989
64,random,1.43580616488856,0.00430864310699617,0.00800091529678726,1.42773307140361,-0.00409056018570511,-0.000295423363471044,0.000111336896039632,0.30474848475086
52,random,1.85612376364746,0.00432583486038421,0.00784380206307667,1.39552195800017,-0.00400940171448196,-0.000297450142559585,0.000107245045310641,0.301755755264167
41,random,2.73830105261992,0.00443445820278273,0.00811357925715472,1.42366620513774,-0.00411543417763893,-0.000303612062455489,0.000109273246350421,0.302175922448564
42,random,1.65291441130006,0.00450005734625661,0.00855599637799864,1.51087438220194,-0.00436056798835759,-0.000303525124055985,0.000118407316815734,0.306817342264548
22,random,0.416007209054706,0.00452593703454677,0.00804119333025266,1.10498320773955,-0.00319649586638076,-0.000298962425750511,7.69283495516622e-05,0.287324151313788
29,random,0.214580216617768,0.00457669413029094,0.00787218597058525,0.913290381333071,-0.00256962405810658,-0.000279249306469463,6.038947761155e-05,0.282355754564348
9,random,0.260136386052808,0.00470405622241233,0.00854896708505426,0.845673306652113,-0.0023648099372551,-0.000274932081058958,5.16612729121971e-05,0.276051035509393
36,random,0.376477258074198,0.00489775090262496,0.0101290486173906,1.73366689622499,-0.005,-0.000305900269863066,0.000140927969834316,0.318435716090435
40,random,0.941893313671448,0.00491879632681199,0.00897382797579038,1.8022672174448,-0.00483280530427928,-0.000231792686838979,0.000177164911665764,0.400622117721961
26,random,1.02283926539148,0.00495010116694309,0.0101445694746278,1.7227282394234,-0.00499587472937636,-0.000311986800209983,0.000138710527033228,0.316029896041284
32,random,0.0689814279628032,0.00495602693698011,0.0101562775523022,1.72353303021842,-0.00499963361344069,-0.000312318741086175,0.000138721079524542,0.315952069267976
35,random,2.82155257499963,0.00495648968937907,0.0101575552196205,1.72362604716899,-0.00499999497995714,-0.000312339342097544,0.000138723240847703,0.315941861700814
21,random,3.24066827923604,0.00495650588297785,0.0101575743314249,1.72362576282245,-0.005,-0.00031234066122081,0.000138722961430949,0.315941472776618
30,random,1.86053956689439,0.00498321994731904,0.0119969221922814,1.9995584466383,-0.00499946430921371,-0.000138474388153814,0.000205266156424091,0.418946626983113
28,random,1.72782205400913,0.00530119011364753,0.00922271254113816,1.28861580389842,-0.00396057269093798,-0.00035450474579813,8.5011360663281e-05,0.281939138483147
59,random,1.78192513797357,0.00534409111481594,0.0149031822909488,1.99999999999749,-0.00462196759640741,-5.08839787360704e-05,0.000218351227482606,0.449435170798746
45,random,1.52958801216809,0.00535022443028335,0.0149605380179727,1.99999999979993,-0.00461898399799305,-5.0000000000783e-05,0.000218107739607373,0.447772803312508
31,random,0.295718992419976,0.00535022443057608,0.0149605372312578,2,-0.00461898398109804,-5e-05,0.000218107747831689,0.447772843991796
12,random,2.16001703273314,0.00589099960285818,0.0108349661623857,0.778758702132505,-0.00242855927232113,-0.000330603641439539,3.10070004470058e-05,0.256646311986267
37,random,0.871509043167118,0.00594286395121826,0.0156183883065807,0.000100332721484572,0.00101747587109385,-5.00019717997761e-05,8.87773464996731e-06,0.293443560352434
66,random,2.56366381024575,0.00665405225144426,0.0139861534576018,0.390317175784665,-0.0011511411278628,-0.000290979645964484,2.32428093883514e-08,0.253343725696744
19,random,1.20086403779875,0.00681113933884937,0.0136357623602428,0.540699835991097,-0.00175382071566945,-0.000326647322782353,1.27140806111512e-36,0.239331915324778
48,random,1.17380414192753,0.0068111393799166,0.0136357625147692,0.540699826627782,-0.00175382070993369,-0.000326647328859398,2.21241778276942e-21,0.239331918095031
20,random,0.172975033221304,0.0068111394063599,0.0136357625042045,0.54069983825316,-0.00175382075490488,-0.000326647331103366,1.19782291473016e-15,0.239331917303691
2,csv_default,0.0606984204580361,0.00681113942979885,0.0136357620261399,0.540699852467187,-0.00175382080673809,-0.00032664733262971,0,0.239331913825527
1,segmented,0.00808523213790711,0.00681113963281628,0.0136357638015251,0.540699921934677,-0.00175382109606129,-0.000326647352866073,2.01451848418913e-13,0.239331910447341
34,random,1.63833713861909,0.00683588356181111,0.0114168966266746,0.667589322940661,-0.00227254803049402,-0.000366481652780518,1.41744608093173e-05,0.246480964832352
38,random,1.94531205385656,0.00777108717253414,0.0159447986526809,8.11462879224364e-84,0.000386730016184123,-0.000202000308942256,1.19021793528225e-13,0.294922798048353
54,random,1.07468332889756,0.00779564623439426,0.0136071168229436,1.4297310352716,-0.00499999999999923,-0.0005,7.25108341765938e-05,0.258252983032739
15,random,0.0700636833429721,0.00779564764094172,0.0136078467691254,1.42972960918893,-0.00499998839374602,-0.0005,7.25167485089062e-05,0.258257717509207
27,random,1.0557522606953,0.0107542300197149,0.0174219060296331,1.87622080708106,-0.00456221138395534,-0.000147151678348505,0.000248142740955326,1.04695978946828
24,random,1.38802144336282,0.0108470940359962,0.0185174631527255,1.99999999999996,-0.00448741371140074,-5e-05,0.000277118288959977,1.49999999999999
16,random,1.22868199543717,0.0108478441449417,0.0185201143799586,1.99965007529037,-0.00448660436446888,-5.0046551753132e-05,0.000277085808124611,1.49999999999949
10,random,1.2731037699809,0.0109543303398459,0.0187867137918716,1.97298416510648,-0.0044412938099067,-5.7506445595194e-05,0.000274261716761318,1.49985287786299
25,random,1.20727748911288,0.0120637351251161,0.0196676645103667,1.99999999999998,-0.00486165318759406,-0.000139638335943677,0.000269783537552428,1.5
3,random,2.52634840721748,0.0125905169126313,0.0201553220210571,1.99999999999998,-0.005,-0.000172741424767116,0.00026701847079085,1.5
18,random,1.62491871345393,0.0205206953787069,0.039115011179582,1.52370245306596,-0.00499999999999998,-0.0005,0.000201114940698815,1.5
8,random,2.96024302029281,0.0873294450902784,0.161656606604796,2,-0.00432564092834497,-5e-05,0.0005,1.5
