dataset,rows,pCa_rmse_kPa,pAn_rmse_kPa,pCa_max_abs_kPa,pAn_max_abs_kPa,needs_volume_stage
baseline,29,11.9410343535977,8.1719912478592,26.1807467867829,16.3424137309199,1
fitted_k_only,29,2.95909621815374,0.745098121743302,8.02400179354308,1.84091526382883,1
fitted_final,29,1.73277086245409,0.732631471950839,5.90987218038183,1.80261407197577,1
