V_ca_m3,V_an_m3,pCa_rmse_kPa,pAn_rmse_kPa,pCa_max_abs_kPa,pAn_max_abs_kPa,objective
5e-05,0.00015,5.53842645673859,0.791750389650024,11.2597727850039,1.98003154432143,8.97813771225369
0.0001,0.00015,4.12528515190462,0.761210915778534,9.63568974964639,1.8897165058994,7.19157731879232
0.0002,0.00015,2.95909621815374,0.745098121743302,8.02400179354308,1.84091526382883,5.67717775137142
0.0004,0.00015,2.17788646105537,0.736823379671804,6.74943828808193,1.81554495210355,4.62770648876428
0.0008,0.00015,1.73277086245409,0.732631471950839,5.90987218038183,1.80261407197577,4.00789958487645
