condition,case_id,boundary_case_index,boundary_current_A,boundary_current_density_A_cm2,current_A,current_density_command_A_cm2,egr_fraction_cmd,air_flow_scale,cathode_flow_nlpm_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,h_cool_effective_W_K,current_density_target_A_cm2,air_flow_control,study_type,oxygen_ok,thermal_ok,humidity_ok,pressure_order_ok,dq60_map_ok,normal_operation_ok,risk_label,life_model_version,life_equivalent_duration_h,life_voltage_factor,life_humidity_factor,life_temperature_factor,life_current_factor,life_cycling_factor,life_damage_rate_mV_h,life_delta_V_deg_mV,life_damage_index,life_projected_to_EOL_h,life_ECSA_ratio_proxy,life_high_potential_exposure_V_h,life_dry_exposure_h,life_high_potential_margin_mV,life_interpretation_status,life_group_key,life_rate_ratio_to_noEGR,life_benefit_vs_noEGR_pct,life_source_file
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.25,1,49.7,0.787833909027282,479.003016688587,16.9270728187322,136.142223675937,61.7118046888922,-178.921093800487,283.428983311413,129.758209838518,330.409820621906,2.18204665147671,2.99838398079634,0.001071035,0.000175656603162031,0.000526969809486094,0.000175656603162031,0.25,3000,57.435393904846,29,1.25817939016247,39.2086169715521,1,112.325,59.8532339938404,141.325,96.2792604312818,58.9,141.325,0.1760145417553,24.8752551135677,0.846975889313464,64.7118046888922,0,5.5,61.6,60.6,1160.57932027903,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.32810659838979,1,1.04721845432788,1,1,0.0166898128697809,0.0166898128697809,0.000222530838263745,4493.75919221942,0.999910987664695,0,0,-12.166090972718,usable,constant_current_fixed_flow|j=0.1,0.961818801450874,3.81811985491258,condition_study_constant_current_egr_scan.csv
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.3,1,49.7,0.786414149287891,478.139802767038,16.5972117405106,136.120121669861,61.7125011058569,-178.87761362899,284.292197232962,130.563481103455,330.416087504985,2.1902422535132,2.96715706420417,0.001071035,0.000211564039196692,0.00049364942479228,0.000211564039196692,0.3,3000,57.5191088520461,29,1.25817939016247,39.2315763111813,1,112.325,60.0482302711235,141.325,96.4955866502183,58.9,141.325,0.173290727179113,24.4903120185882,0.856791681318046,64.7125011058569,0,5.5,61.6,60.6,1160.55286842739,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.31403968286935,1,1.0472380105237,1,1,0.0165133476388475,0.0165133476388475,0.000220177968517967,4541.78048208488,0.999911928812593,0,0,-13.585850712109,usable,constant_current_fixed_flow|j=0.1,0.951649269998462,4.83507300015379,condition_study_constant_current_egr_scan.csv
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.35,1,49.7,0.784810428195877,477.164740343093,16.2336157991001,136.097472533986,61.7132884701449,-178.828531093892,285.267259656907,131.473915518643,330.423172801926,2.19870243022971,2.93185224792521,0.001071035,0.00024775260133296,0.000460111973904068,0.00024775260133296,0.35,3000,57.6056424739505,29,1.25817939016247,39.2547233025688,1,112.325,60.2448202960886,141.325,96.7136809511655,58.9,141.325,0.170331246411681,24.0720633991308,0.866761629832119,64.7132884701449,0,5.5,61.6,60.6,1160.523355558,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.29832920569736,1,1.04726012096769,1,1,0.016316260812174,0.016316260812174,0.00021755014416232,4596.64140352797,0.999912979942335,0,0,-15.1895718041231,usable,constant_current_fixed_flow|j=0.1,0.940291334658391,5.97086653416095,condition_study_constant_current_egr_scan.csv
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.4,1,49.7,0.782984410447506,476.054521552084,15.8306942494886,136.07424842608,61.7141857442925,-178.772660946909,286.377478447916,132.511439579037,330.431247151852,2.20745266393641,2.891757110693,0.001071035,0.000284233202491528,0.000426349803737293,0.000284233202491528,0.4,3000,57.6953642241858,29,1.25817939016247,39.278066672602,1,112.325,60.4430781871791,141.325,96.9336255601166,58.9,141.325,0.167097943594793,23.6151168785341,0.876892545722421,64.7141857442925,0,5.5,61.6,60.6,1160.49022056178,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.28066961563307,1,1.04728531829805,1,1,0.0160947178325151,0.0160947178325151,0.000214596237766867,4659.91394073916,0.999914161504893,0,0,-17.015589552494,usable,constant_current_fixed_flow|j=0.1,0.927524013369172,7.24759866308283,condition_study_constant_current_egr_scan.csv
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.45,1,49.7,0.780886165303532,474.778788504547,15.3815403422308,136.050419331881,61.7152176224983,-178.70845258088,287.653211495453,133.70460731731,330.440532771536,2.21652398748654,2.84598799491731,0.001071035,0.000321017522019286,0.000392354749134683,0.000321017522019286,0.45,3000,57.7887256627581,29,1.25817939016247,39.3016161686444,1,112.325,60.6430867298609,141.325,97.155512318142,58.9,141.325,0.163543732040381,23.1128179306069,0.887191732399537,64.7152176224983,0,5.5,61.6,60.6,1160.45275382512,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.26067367373411,1,1.04731429617378,1,1,0.0158438587357399,0.0158438587357399,0.000211251449809866,4733.69532327489,0.999915499420076,0,0,-19.113834696468,usable,constant_current_fixed_flow|j=0.1,0.913067230799118,8.69327692008822,condition_study_constant_current_egr_scan.csv
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.5,1,49.7,0.778449352253109,473.29720616989,14.8775190789685,136.025952855187,61.7164169308724,-178.633862072941,289.13479383011,135.091375782915,330.451325055093,2.22595506504295,2.79343567432471,0.001071035,0.000358118081606136,0.000358118081606136,0.000358118081606136,0.5,3000,57.8862859622054,29,1.25817939016247,39.3253828265685,1,112.325,60.8449396530513,141.325,97.3794452068283,58.9,141.325,0.159609800620367,22.5568550726733,0.897667043525428,64.7164169308724,0,5.5,61.6,60.6,1160.41004320092,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.23784274392178,1,1.04734797671563,1,1,0.0155574251200631,0.0155574251200631,0.000207432334934175,4820.84917145311,0.999917027066026,0,0,-21.5506477468911,usable,constant_current_fixed_flow|j=0.1,0.896560320920916,10.3439679079084,condition_study_constant_current_egr_scan.csv
constant_current_fixed_flow,bench_076A,2,76,0.2,76,0.2,0,1,71.8,0.774893918711964,942.271005153749,17.7232953303709,148.898497042536,63.4739599011204,-83.2925452126207,582.592994846251,317.03954932036,346.267304960987,2.57868577752419,2.40450982319515,0.00154729,0,0.00104317235138007,0,0,3000,72.522973442514,29,1.22794262134015,50.6704963643877,1,127.225,61.2,156.225,93.7849739497278,61.2,156.225,0.192539144761296,30.0794278903335,0.6,66.4739599011204,0,6,63.2,64.6,1157.24800609081,0.2,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.2052709426495,1.06122448979592,1.09761763852545,1,1,0.0168470658574098,0.0168470658574098,0.000224627544765463,4451.8137837642,0.999910148982094,0,0.1,-25.106081288036,usable,constant_current_fixed_flow|j=0.2,1,0,condition_study_constant_current_egr_scan.csv
constant_current_fixed_flow,bench_076A,2,76,0.2,76,0.2,0.05,1,71.8,0.773640720274005,940.747115853191,17.4075840313007,148.852781971404,63.4751938979828,-83.2216069958018,584.11688414681,318.466443252584,346.278409513985,2.59363837604272,2.38715197580214,0.00154729,5.2441600218893e-05,0.000996390404158968,5.2441600218893e-05,0.05,3000,72.6493025213379,29,1.22794262134015,50.6975927189473,1,127.225,61.3787956857944,156.225,93.9811946475273,61.2,156.225,0.18973498402651,29.6413478795415,0.616703161870936,66.4751938979828,0,6,63.2,64.6,1157.24384002327,0.2,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.19399568618684,1.04247977495285,1.0976535792167,1,1,0.0163952083359711,0.0163952083359711,0.000218602777812948,4574.50728670827,0.999912558888875,0,0.083296838129064,-26.3592797259951,usable,constant_current_fixed_flow|j=0.2,0.973178859436826,2.68211405631743,condition_study_constant_current_egr_scan.csv
constant_current_fixed_flow,bench_076A,2,76,0.2,76,0.2,0.1,1,71.8,0.772242348712648,939.046696034579,17.0638775716319,148.805532423061,63.4765717785091,-83.142443543815,585.817303965421,320.059712707661,346.290808855452,2.6092259461219,2.3675503742635,0.00154729,0.000105468177982475,0.000949213601842275,0.000105468177982475,0.1,3000,72.7795341075204,29,1.22794262134015,50.725005563735,1,127.225,61.5596797369168,156.225,94.1797072378863,61.2,156.225,0.186744972581597,29.17423334156,0.633750693753892,66.4765717785091,0,6,63.2,64.6,1157.23923255304,0.2,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.18153875111806,1.02687124843729,1.09769371166105,1,1,0.0159818255678103,0.0159818255678103,0.000213091007570804,4692.83059571497,0.999914763596972,0,0.0662493062461079,-27.7576512873521,usable,constant_current_fixed_flow|j=0.2,0.948641484699907,5.13585153000933,condition_study_constant_current_egr_scan.csv
constant_current_fixed_flow,bench_076A,2,76,0.2,76,0.2,0.15,1,71.8,0.770671863459057,937.136985966214,16.6880593716016,148.756642095938,63.4781202763733,-83.0535142396015,587.727014033786,321.850270329367,346.304743557645,2.62551438637616,2.34534016725921,0.00154729,0.00015911022812071,0.000901624626017357,0.00015911022812071,0.15,3000,72.9140709485202,29,1.22794262134015,50.7527535591262,1,127.225,61.742775284123,156.225,94.3806468515978,61.2,156.225,0.18354330721427,28.6740531695493,0.651163942748365,66.4781202763733,0,6,63.2,64.6,1157.23410937982,0.2,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.1677034725621,1.01460179890542,1.09773881490167,1,1,0.0156066060005451,0.0156066060005451,0.000208088080007268,4805.65729649229,0.999916764767997,0,0.048836057251635,-29.328136540943,usable,constant_current_fixed_flow|j=0.2,0.926369382813385,7.3630617186615,condition_study_constant_current_egr_scan.csv
