case_id,current_A,current_density_A_cm2,fit_weight,V_cell_meas,E_nernst_V,C_O2_mol_m3,pO2_core_in_kPa,pO2_stack_kPa,pH2_stack_kPa,lambda_mem,RH_stack,lambda_O2_actual,book_reference_V,book_reference_err_V,current_applied_V,current_applied_err_V,internal_state_weighted_refit_V,internal_state_weighted_refit_err_V,selected_candidate_V,selected_candidate_err_V,selected_V_act_V,selected_V_ohm_V,selected_V_conc_V,selected_Rm_ohm,selected_Rc_ohm,selected_R_ohm_total_ohm
bench_038A,38,0.1,4,0.8017,1.19421218533529,0.0198974122407606,26.4313536258226,18.2020738411549,143.276085858267,4.78854681481836,0.778312514674625,3.10966400821082,-0.340113206575321,-1.14181320657532,0.760421018813961,-0.0412789811860388,0.792981596885914,-0.00871840311408567,0.792981596885914,-0.00871840311408567,0.391716650481428,0.00943592899395867,7.80089739893745e-05,5.29438476880832e-06,0.000243019536124841,0.000248313920893649
bench_076A,76,0.2,4,0.7726,1.19439746998826,0.0206748433493837,30.0794278903335,17.7174627416238,159.745668434476,4.22708862112788,0.713703416320064,2.40374922101257,-0.386311475087504,-1.1589114750875,0.749765746880839,-0.022834253119161,0.774812679483958,0.00221267948395787,0.774812679483958,0.00221267948395787,0.400584096833171,0.0189226846971416,7.80089739893745e-05,5.96315725860119e-06,0.000243019536124841,0.000248982693383442
bench_114A,114,0.3,4,0.7504,1.19488503623979,0.0211104249879346,31.0111539834983,16.8053617032379,172.927922479729,3.80946296362921,0.647825645442281,2.16775403173231,-0.422309428413153,-1.17270942841315,0.738504222686204,-0.0118957773137957,0.760078699618398,0.00967869961839818,0.760078699618398,0.00967869961839818,0.406274288869309,0.0284540387780939,7.80089739893745e-05,6.57729526194753e-06,0.000243019536124841,0.000249596831386789
bench_152A,152,0.4,2,0.7338,1.19434670118304,0.020590265853823,32.9310350905214,16.0363152384546,182.445153861352,3.68410518414888,0.620079820283275,1.90983647290861,-0.458412731155609,-1.19221273115561,0.722298658210857,-0.0115013417891425,0.742516193932408,0.00871619393240775,0.742516193932408,0.00871619393240775,0.413778554566686,0.0379739437099567,7.80089739893745e-05,6.80904091434799e-06,0.000243019536124841,0.000249828577039189
bench_228A,228,0.6,2,0.7102,1.19210280876609,0.0212016082075467,36.3920985313425,15.6783039053609,200.584979529198,3.52974377772396,0.563810382677259,1.71522098229401,-0.525456291121143,-1.23565629112114,0.693158178627516,-0.0170418213724837,0.712603270382862,0.00240327038286203,0.712603270382862,0.00240327038286203,0.42237981630089,0.0570417131083488,7.80089739893745e-05,7.16341610475918e-06,0.000243019536124841,0.0002501829522296
bench_266A,266,0.7,2,0.7012,1.18943870157188,0.0217017957160391,37.8671467037208,15.6970749741749,205.176628041576,3.59072401368225,0.538642556002679,1.66497325216701,-0.560190230062319,-1.26139023006232,0.676946186123272,-0.0242538138767279,0.696727978549003,-0.0044720214509969,0.696727978549003,-0.0044720214509969,0.426098426649721,0.0665342873991668,7.80089739893745e-05,7.10936387202677e-06,0.000243019536124841,0.000250128899996868
bench_342A,342,0.9,1,0.6826,1.18938536247687,0.0238721721136827,41.6763080207976,16.5192262995638,219.562346180618,3.67959831578136,0.503554638831281,1.61302681594712,-0.608737112184027,-1.29133711218403,0.659072320995216,-0.0235276790047839,0.678869660914134,-0.00373033908586584,0.678869660914134,-0.00373033908586584,0.424935243409596,0.0855024491791508,7.80089739893745e-05,6.98762521770512e-06,0.000243019536124841,0.000250007161342546
bench_418A,418,1.1,1,0.666,1.19057540968515,0.0262613073994852,45.8068104950828,17.5228783435558,239.951722689283,3.61957129198698,0.478528784649929,1.58226201946188,-0.653412797884063,-1.31941279788406,0.643097974483531,-0.0229020255164694,0.663496961508929,-0.00250303849107092,0.663496961508929,-0.00250303849107092,0.422444214879464,0.104556224322767,7.80089739893745e-05,7.11497182436285e-06,0.000243019536124841,0.000250134507949204
bench_494A,494,1.3,1,0.6469,1.19036305105529,0.0259586057111342,48.7267192617724,16.7484434115082,249.983428703168,3.60560386534117,0.458831484943618,1.50974688827907,-0.710579191878194,-1.35747919187819,0.617271676294666,-0.0296283237053336,0.639711777756115,-0.00718822224388493,0.639711777756115,-0.00718822224388493,0.426983802432292,0.123589461892893,7.80089739893745e-05,7.16156082433572e-06,0.000243019536124841,0.000250181096949177
bench_570A,570,1.5,1,0.624,1.19029607494826,0.0256799955298861,48.9778782816304,15.5471776750496,250.403508309054,3.57300400698665,0.424560214078053,1.46753982250784,-0.851198094939951,-1.47519809493995,0.592640613015608,-0.0313593869843917,0.617291811448164,-0.00670818855183575,0.617291811448164,-0.00670818855183575,0.430285540048232,0.142640714477874,7.80089739893745e-05,7.22733138020176e-06,0.000243019536124841,0.000250246867505043
