condition,case_id,boundary_case_index,boundary_current_A,boundary_current_density_A_cm2,current_A,current_density_command_A_cm2,egr_fraction_cmd,air_flow_scale,cathode_flow_nlpm_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,h_cool_effective_W_K,current_density_target_A_cm2,air_flow_control,study_type,oxygen_ok,thermal_ok,humidity_ok,pressure_order_ok,dq60_map_ok,normal_operation_ok,risk_label
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0,1,49.7,0.793033563122699,482.164406378601,18.2058401917578,136.24537226461,61.7092612034173,-179.080892506611,280.267593621399,126.817164340528,330.386932448606,2.14438933887619,3.1104893259994,0.001071035,0,0.000690553060630714,0,0,3000,57.0499440999394,29,1.25817939016247,39.0963808647116,1,112.325,58.9,141.325,95.2217555982538,58.9,141.325,0.187025321958766,26.4313536258226,0.8,64.7092612034173,0,5.5,61.6,60.6,1160.67881712899,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.05,1,49.7,0.79218794731849,481.650271969642,17.9896826273257,136.22565163788,61.7096738986318,-179.054811140686,280.781728030358,127.294365572375,330.390646183909,2.15152741476035,3.09270566687848,0.001071035,3.46430645651124e-05,0.000658218226737136,3.46430645651124e-05,0.05,3000,57.1232940367712,29,1.25817939016247,39.11850798608,1,112.325,59.0879281531399,141.325,95.4302405363609,58.9,141.325,0.185103707983372,26.15978153075,0.809132866575108,64.7096738986318,0,5.5,61.6,60.6,1160.66235595149,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.1,1,49.7,0.791259378071673,481.085701867577,17.7561800733698,136.205496722322,61.7101275666562,-179.026223862746,281.346298132423,127.818944053141,330.394728624383,2.15884931764425,3.07291025702519,0.001071035,6.95220370099484e-05,0.000625698333089536,6.95220370099484e-05,0.1,3000,57.1983420825256,29,1.25817939016247,39.140789259465,1,112.325,59.2771655368528,141.325,95.6401779170661,58.9,141.325,0.183058661683334,25.8707653623972,0.8183917950869,64.7101275666562,0,5.5,61.6,60.6,1160.64440479429,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.15,1,49.7,0.790235114937459,480.462949881975,17.503092485218,136.184887957868,61.7106285114755,-178.994742580797,281.969050118025,128.398189133899,330.399236498131,2.16636706679203,3.05082347432386,0.001071035,0.000104644888081527,0.000592987699128651,0.000104644888081527,0.15,3000,57.2752465730837,29,1.25817939016247,39.1632303561301,1,112.325,59.4677603178234,141.325,95.8516211758344,58.9,141.325,0.180874792741833,25.5621300842395,0.82778171991767,64.7106285114755,0,5.5,61.6,60.6,1160.62475596413,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.2,1,49.7,0.78909965037522,479.772587428134,17.2277733487107,136.163804417092,61.7111844061757,-178.959893848068,282.659412571866,129.040973266179,330.404238853458,2.17409430029653,3.02611355333568,0.001071035,0.000140020078580047,0.00056008031432019,0.000140020078580047,0.2,3000,57.3541917808208,29,1.25817939016247,39.1858373878233,1,112.325,59.6597644038204,141.325,96.0646278984387,58.9,141.325,0.178533945440333,25.231309839355,0.837307888622165,64.7111844061757,0,5.5,61.6,60.6,1160.60316104318,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.25,1,49.7,0.787833909027282,479.003016688587,16.9270728187322,136.142223675937,61.7118046888922,-178.921093800487,283.428983311413,129.758209838518,330.409820621906,2.18204665147671,2.99838398079634,0.001071035,0.000175656603162031,0.000526969809486094,0.000175656603162031,0.25,3000,57.435393904846,29,1.25817939016247,39.2086169715521,1,112.325,59.8532339938404,141.325,96.2792604312818,58.9,141.325,0.1760145417553,24.8752551135677,0.846975889313464,64.7118046888922,0,5.5,61.6,60.6,1160.57932027903,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.3,1,49.7,0.786414149287891,478.139802767038,16.5972117405106,136.120121669861,61.7125011058569,-178.87761362899,284.292197232962,130.563481103455,330.416087504985,2.1902422535132,2.96715706420417,0.001071035,0.000211564039196692,0.00049364942479228,0.000211564039196692,0.3,3000,57.5191088520461,29,1.25817939016247,39.2315763111813,1,112.325,60.0482302711235,141.325,96.4955866502183,58.9,141.325,0.173290727179113,24.4903120185882,0.856791681318046,64.7125011058569,0,5.5,61.6,60.6,1160.55286842739,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.35,1,49.7,0.784810428195877,477.164740343093,16.2336157991001,136.097472533986,61.7132884701449,-178.828531093892,285.267259656907,131.473915518643,330.423172801926,2.19870243022971,2.93185224792521,0.001071035,0.00024775260133296,0.000460111973904068,0.00024775260133296,0.35,3000,57.6056424739505,29,1.25817939016247,39.2547233025688,1,112.325,60.2448202960886,141.325,96.7136809511655,58.9,141.325,0.170331246411681,24.0720633991308,0.866761629832119,64.7132884701449,0,5.5,61.6,60.6,1160.523355558,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.4,1,49.7,0.782984410447506,476.054521552084,15.8306942494886,136.07424842608,61.7141857442925,-178.772660946909,286.377478447916,132.511439579037,330.431247151852,2.20745266393641,2.891757110693,0.001071035,0.000284233202491528,0.000426349803737293,0.000284233202491528,0.4,3000,57.6953642241858,29,1.25817939016247,39.278066672602,1,112.325,60.4430781871791,141.325,96.9336255601166,58.9,141.325,0.167097943594793,23.6151168785341,0.876892545722421,64.7141857442925,0,5.5,61.6,60.6,1160.49022056178,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_current_fixed_flow,bench_038A,1,38,0.1,38,0.1,0.45,1,49.7,0.780886165303532,474.778788504547,15.3815403422308,136.050419331881,61.7152176224983,-178.70845258088,287.653211495453,133.70460731731,330.440532771536,2.21652398748654,2.84598799491731,0.001071035,0.000321017522019286,0.000392354749134683,0.000321017522019286,0.45,3000,57.7887256627581,29,1.25817939016247,39.3016161686444,1,112.325,60.6430867298609,141.325,97.155512318142,58.9,141.325,0.163543732040381,23.1128179306069,0.887191732399537,64.7152176224983,0,5.5,61.6,60.6,1160.45275382512,0.1,fixed_noEGR_reference,constant_current_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
