case_id,source_dataset,status,message,current_A,current_density_A_cm2,egr_fraction,V_exp,V_sim,err_V,stack_in_flow_SLPM,stack_in_flow_kg_s,fresh_supply_flow_SLPM,stack_in_p_kPa_g,stack_out_p_kPa_g,cathode_dp_kPa,stack_in_T_C,stack_in_RH,pO2_stack_kPa,pCa_stack_kPa_abs,pCa_out_boundary_kPa_abs,pH2_stack_kPa,pAn_stack_kPa_abs,T_stack_C,xO2_stack,RH_stack,pO2_in_kPa,xO2_in,RH_in,lambda_m,lambda_ca,lambda_an,mMem_kg_s,N_drag_mol_s,N_diff_mol_s,J_drag_mol_m2_s,J_diff_mol_m2_s,J_net_mol_m2_s,mDrag_kg_s,mDiff_kg_s,mMem_raw_kg_s,mMem_limit_delta_kg_s,mCaOut_kg_s,mIn_kg_s,mIn_error_kg_s,lambdaO2,phaseCa_kg_s,phaseAn_kg_s,condensedCa_kg,condensedAn_kg,psatCa_next_kPa,psatAn_next_kPa,mV_ca_preclip_kg,mV_an_preclip_kg,resO2_kg_s,resN2_kg_s,resH2Oca_kg_s,resH2_kg_s,resH2Oan_kg_s,maxGasRes_kg_s,Qnet_W,Qgen_W,Qcool_W,Qamb_W,Qgas_W,E_Nernst_V,etaAct_V,etaOhm_V,etaCon_V
initial_noegr_01,initial_noegr_steady_xlsx,ok,,38,0.1,0,0.80165625,0.803533874478287,0.0018776244782871,49.7,0.001071035,49.7,40,32.5,7.5,58.9,0.8,20.28398977849,137.050499174265,133.825,129.370343402944,147.317008152902,58.8709661840708,0.14800376431098,1,26.4313536258226,0.187025321958766,0.8,13.6081972865554,14.0094661550742,13.2069284180367,-2.06233848805616e-05,0.00767167304833036,0.00881642392142732,0.0126178833031749,0.0145006972391897,-0.00188284838881085,0.000138207338034125,0.000158830345543211,-2.06230075090862e-05,-3.77371475434723e-10,0.00104129076491676,0.001071035,0,4.59262356283096,1.54723013181245e-05,0,3.09446026362491e-07,0,18.9256258990194,18.9256258990194,9.91150462049008e-05,1.75677576459418e-05,-3.25260651745651e-19,-3.25260651745651e-18,3.21872519956634e-19,1.35525271560688e-20,3.72694496791892e-20,3.25260651745651e-18,-10.5061841110427,273.883404317201,-20.3856709105544,304.838737681373,-0.0634783425748536,1.19284026798033,0.380830503175272,0.0084758903267746,0
initial_noegr_02,initial_noegr_steady_xlsx,ok,,76,0.2,0,0.7726375,0.780471512611966,0.00783401261196648,71.8,0.00154729,71.8,54.9,44.6,10.3,61.2,0.6,20.0460675581897,150.667768661397,145.925,143.167776789705,164.956322650671,63.3090082302656,0.133048147830742,1,30.0794278903335,0.192539144761296,0.6,13.3345851936722,14.0007745324633,12.6683958548812,-2.17975579535349e-05,0.0149014988172196,0.0161116069243843,0.024509044107269,0.0264993534940532,-0.00199004659567342,0.000268454673611879,0.000290255109992722,-2.18004363808429e-05,2.87842730800934e-09,0.00152263873603388,0.00154729,2.16840434497101e-19,3.38039965979346,1.55695330809242e-05,0,3.11390661618483e-07,0,23.2066334216321,23.2066334216321,0.000119868883744705,2.10471926851746e-05,-1.89735380184963e-19,1.30104260698261e-18,1.0842021724855e-19,-6.7762635780344e-20,2.37169225231204e-20,1.30104260698261e-18,75.2816302871772,575.810640663849,148.871925584837,344.780772945869,6.87631184596535,1.19035963765281,0.393422041919971,0.0164660831208719,0
initial_noegr_03,initial_noegr_steady_xlsx,ok,,114,0.3,0,0.75044375,0.755117627902987,0.00467387790298712,90.2,0.00194381,90.2,60,46.1,13.9,62.3,0.6,18.7939228136745,153.24268092863,147.425,155.435740240104,178.234765552906,64.7337344545878,0.122641568913999,1,31.0111539826871,0.192227825710133,0.6,13.0748739327353,14.0038213540843,12.1459265113864,-2.56899983201971e-05,0.0217307428255991,0.02315697835586,0.0357413533315775,0.038087135453717,-0.00234541382153652,0.000391485416611159,0.000417179449034757,-2.56940324235974e-05,4.03410340028831e-09,0.00189561329261697,0.00194381,0,2.82817392094889,4.1576892815337e-05,0,8.3153785630674e-07,0,24.7443977268179,24.7443977268179,0.000127773854716985,2.19304268939307e-05,5.42101086242752e-20,2.16840434497101e-18,7.86046575051991e-19,-4.74338450462408e-20,2.37169225231204e-20,2.16840434497101e-18,86.6122610118322,909.961446704952,455.866613514519,357.603263642246,9.87930853635463,1.18997636667233,0.410041777197173,0.0248169615721705,0
initial_noegr_04,initial_noegr_steady_xlsx,ok,,152,0.4,0,0.73384375,0.733439470783161,-0.000404279216839276,96.6,0.00208173,96.6,70.1,56.2,13.9,63.8,0.6,17.6568027362979,163.453789599158,157.525,163.818811067969,188.056261791734,66.4755752897118,0.108023208147074,1,32.9310350900372,0.192101706810776,0.6,12.8501555159441,14.0036498437668,11.6966611881214,-2.8158628606653e-05,0.0282652607120095,0.029828591804235,0.0464889156447525,0.0490601838885444,-0.00257079178855512,0.000509206585999851,0.000537370433358999,-2.8163847359148e-05,5.2187524950516e-09,0.00199000210016418,0.00208173,0,2.27067124418183,8.89940807091585e-05,0,1.77988161418317e-06,0,26.7410737256607,26.7410737256607,0.000138261848521636,2.31944801109527e-05,9.75781955236954e-19,0,-8.80914265144472e-19,-1.35525271560688e-20,1.25360876193636e-19,9.75781955236954e-19,95.0501656685729,1266.00320705535,786.243561600027,373.279797406743,11.4296823800102,1.18884522847376,0.42235047395739,0.0330552837332062,0
initial_noegr_05,initial_noegr_steady_xlsx,ok,,228,0.6,0,0.7102375,0.704701533556923,-0.00553596644307719,120.4,0.00259462,120.4,90,73.5,16.5,68.6,0.6,16.3743602888605,181.901324739495,174.825,179.788411184346,209.228992578196,71.3787324897434,0.090017817694899,1,36.3920985308738,0.190210890008487,0.6,12.5243194703762,14.0076930653514,11.0409458754009,-2.82861355316314e-05,0.0408753750978766,0.0424458538737055,0.0672292353583496,0.0698122596606999,-0.00258243275872798,0.000736381327493274,0.000764673942373889,-2.82926148806157e-05,6.4793489843064e-09,0.00244463626198633,0.00259462,0,1.87472879435769,0.000159829821005398,0,3.19659642010795e-06,0,33.1089059592032,33.1089059592032,0.000169774043648327,2.77727590475116e-05,-6.50521303491303e-19,8.23993651088983e-18,-2.16840434497101e-19,-9.48676900924816e-20,4.06575814682064e-20,8.23993651088983e-18,98.2547128446463,2003.84080558435,1473.61154593947,417.408199388839,14.5663474113951,1.18546808830802,0.432461622029358,0.0483049327217386,0
initial_noegr_06,initial_noegr_steady_xlsx,ok,,266,0.7,0,0.701175,0.693621610960594,-0.00755338903940639,133.1,0.002868305,133.1,100,82,18,72.2,0.6,15.7652914111119,191.032661236343,183.325,185.371126564254,219.258835932979,74.548834748873,0.0825266805638401,1,37.8671467033016,0.188089639653802,0.6,12.4358041005651,14.0125574808432,10.859050720287,-1.59680890830136e-05,0.0472100949462112,0.0480967097186802,0.077648182477321,0.0791064304583557,-0.00145783492750884,0.000850503079282579,0.000866475692660746,-1.59726133781667e-05,4.52429515308454e-09,0.00269721362451398,0.002868305,0,1.76354485331628,0.000199606551249561,0,3.99213102499123e-06,0,37.8720923584514,37.8720923584514,0.000192796866542728,3.16764912146926e-05,-5.42101086242752e-20,-7.37257477290143e-18,-8.40256683676266e-19,-6.7762635780344e-20,1.6940658945086e-19,7.37257477290143e-18,82.9138992416282,2384.97042375171,1842.61124926839,445.93918108426,13.5060941574317,1.18275322714466,0.434227022827068,0.0549045933569935,0
initial_noegr_07,initial_noegr_steady_xlsx,ok,,342,0.9,0,0.68263125,0.676555679116396,-0.00607557088360433,163.1,0.003514805,163.1,120,98.9,21.1,74.2,0.6,16.3492099961984,209.409417940886,200.225,201.472292415725,237.61423514532,76.4065005340002,0.0780729451280629,1,41.6763080204541,0.188303662127885,0.6,12.1511809779085,14.0177160497732,10.2846459060438,-6.07178976864853e-06,0.0587406431653627,0.0590778883377231,0.0966128999430308,0.0971675795028341,-0.000554334783029408,0.0010582291340041,0.00106430470021282,-6.07556620872026e-06,3.77644007172924e-09,0.00327871312987384,0.003514805,0,1.68204890782541,0.000287208729062365,0,5.74417458124729e-06,0,40.9222016825339,40.9222016825339,0.000208670516673494,3.36040947792884e-05,1.62630325872826e-19,5.20417042793042e-18,4.33680868994202e-19,4.74338450462408e-20,-2.5410988417629e-19,5.20417042793042e-18,77.303065610266,3159.77532387508,2604.44950929726,462.658195593739,15.3645533738203,1.18264149114795,0.43513901175491,0.0709468002766455,0
initial_noegr_08,initial_noegr_steady_xlsx,ok,,418,1.1,0,0.6660375,0.667137681113575,0.00110018111357468,199.4,0.00429707,199.4,140,114.9,25.1,74.5,0.6,17.9914073770176,227.526945716064,216.225,220.698196498257,258.235105700783,77.8548766099198,0.0790737436412015,1,45.8068104950464,0.18981378015144,0.6,11.8712211981706,14.018960480873,9.72348191546822,-8.51231035210087e-06,0.069471930045521,0.0699449101758811,0.114263042838028,0.115040970684015,-0.0007771464250089,0.00125155627191047,0.00126007714139335,-8.52086948287303e-06,8.55913077215099e-09,0.0040188185643051,0.00429707,8.67361737988404e-19,1.69125213787844,0.000339647830178,0,6.79295660355999e-06,0,43.4411898606723,43.4411898606723,0.000221321646342527,3.47570933279092e-05,-1.62630325872826e-19,1.73472347597681e-18,5.42101086242752e-19,1.35525271560688e-20,-2.87991202066462e-20,1.73472347597681e-18,152.06798524718,3924.93518871241,3268.55084764703,475.693281217337,28.6230746008678,1.18359032618735,0.42890107623483,0.0875515688389458,0
initial_noegr_09,initial_noegr_steady_xlsx,ok,,494,1.3,0,0.646875,0.650326201586347,0.0034512015863466,235.1,0.005066405,235.1,150,119.9,30.1,74.3,0.5,18.9218964431531,234.987262882822,221.225,231.263839323646,268.512572553177,78.2649871693764,0.080523072659426,1,48.7267192617257,0.193879316668559,0.5,11.5813763099792,14.0132252195504,9.14952740040794,-9.6367759619435e-06,0.0793011172684727,0.079836241269179,0.130429469191567,0.131309607350623,-0.000879806501132531,0.00142863183190437,0.00143827224061182,-9.64040870744383e-06,3.6327455003296e-09,0.00479952159121163,0.005066405,0,1.71049060577994,0.000339843428458586,0,6.79686856917171e-06,0,44.1776422079547,44.1776422079547,0.000224707827873676,3.4450007339331e-05,-9.21571846612679e-19,4.33680868994202e-19,1.0842021724855e-19,5.42101086242752e-20,2.64274279543342e-19,9.21571846612679e-19,58.0594540943126,4771.43770266152,4193.61148950735,479.384652286572,40.3821067732864,1.18444342482869,0.428356114476366,0.105761108765973,0
initial_noegr_10,initial_noegr_steady_xlsx,ok,,570,1.5,0,0.62398125,0.625813066408232,0.00183181640823182,271.6,0.00585298,271.6,149.9,112.5,37.4,75.1,0.45,18.4416308801323,230.204324616594,213.825,231.140421140856,268.422851306336,78.9078829271309,0.0801098368192991,1,48.9778782815089,0.194956227610743,0.45,11.3245136495374,14.0132134393592,8.63581385971571,-1.27700152097394e-05,0.0886745318233578,0.0893836640816284,0.145846269446312,0.147012605397415,-0.00116586111843407,0.0015974965196667,0.00161027173585648,-1.27752161897775e-05,5.20098003816829e-09,0.00561065148627027,0.00585298,-8.67361737988404e-19,1.71867575115705,0.00032486269795353,0,6.4972539590706e-06,0,45.353188237907,45.353188237907,0.000229798202489738,3.44182060688697e-05,-3.79470760369927e-19,-6.50521303491303e-18,7.58941520739853e-19,1.62630325872826e-19,-2.01593841446523e-19,6.50521303491303e-18,71.4343363897258,5729.06483435693,5127.1293238874,485.170660606833,45.330513472972,1.18385433441389,0.433899518854905,0.12414174915075,0
