case_id,source_dataset,module,variable,unit,current_A,egr_fraction,initial_value,final_value,delta_value,last_window_mean,last_window_min,last_window_max,last_window_std,last_window_range,last_window_abs_slope_per_s,sign_changes_total,sign_changes_last_window,converged_by_range,message
initial_noegr_01,initial_noegr_steady_xlsx,stack_ca_out,p_kPa_abs,kPa,38,0,133.825,133.825,0,133.825,133.825,133.825,1.13970700429965e-13,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_ca_out,liquid_flag,1,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,egr_return,mO2_kg_s,kg/s,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,egr_return,mN2_kg_s,kg/s,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,egr_return,mH2Ov_kg_s,kg/s,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,egr_return,mLiquid_kg_s,kg/s,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,egr_return,T_C,degC,38,0,56,56,0,56,56,56,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,egr_return,p_kPa_abs,kPa,38,0,133.825,133.825,0,133.825,133.825,133.825,1.13970700429965e-13,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,egr_return,liquid_flag,1,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,bench_out,mO2_kg_s,kg/s,38,0,0.000145408176005998,4.70140521502346e-05,-9.83941238557635e-05,9.32619870693107e-05,4.70140521502346e-05,0.000139762011613856,4.609618088784e-05,9.27479594636217e-05,5.28334564945781e-08,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,bench_out,mN2_kg_s,kg/s,38,0,0.000704168281641717,0.000252753944888884,-0.000451414336752834,0.000474240748789977,0.000252753944888884,0.000696180439707611,0.000220997946206065,0.000443426494818727,2.27561381512423e-07,0,0,0,
