case_id,source_dataset,check_name,unit,current_A,egr_fraction,initial_error,final_error,max_abs_error,mean_abs_error,last_window_max_abs_error,tolerance,pass,message
initial_noegr_09,initial_noegr_steady_xlsx,mixer_to_stack_in_mN2,kg/s,494,0,0,0,0,0,0,1e-10,1,
initial_noegr_09,initial_noegr_steady_xlsx,mixer_to_stack_in_mH2Ov_delta,kg/s,494,0,0,0,0,0,0,1e-10,1,
initial_noegr_09,initial_noegr_steady_xlsx,inlet_condensed_liquid_balance,kg/s,494,0,0,0,0,0,0,1e-10,1,
initial_noegr_09,initial_noegr_steady_xlsx,stack_out_split_mO2,kg/s,494,0,0,0,0,0,0,1e-10,1,
initial_noegr_09,initial_noegr_steady_xlsx,stack_out_split_mN2,kg/s,494,0,0,0,0,0,0,1e-10,1,
initial_noegr_09,initial_noegr_steady_xlsx,splitter_ratio_param_error,1,494,0,0,0,0,0,0,1e-09,1,
initial_noegr_09,initial_noegr_steady_xlsx,summary_pO2In_vs_stack_in,kPa,494,0,0,0,0,0,0,1e-06,1,
initial_noegr_09,initial_noegr_steady_xlsx,summary_xO2In_vs_stack_in,1,494,0,0,0,0,0,0,1e-09,1,
initial_noegr_09,initial_noegr_steady_xlsx,summary_RHIn_vs_stack_in,1,494,0,0,0,0,0,0,1e-07,1,
initial_noegr_09,initial_noegr_steady_xlsx,actual_mIn_excess_over_target,kg/s,494,0,0,0,0,0,0,1e-10,1,
initial_noegr_10,initial_noegr_steady_xlsx,mixer_to_stack_in_mO2,kg/s,570,0,0,0,0,0,0,1e-10,1,
initial_noegr_10,initial_noegr_steady_xlsx,mixer_to_stack_in_mN2,kg/s,570,0,0,0,0,0,0,1e-10,1,
initial_noegr_10,initial_noegr_steady_xlsx,mixer_to_stack_in_mH2Ov_delta,kg/s,570,0,0,0,0,0,0,1e-10,1,
initial_noegr_10,initial_noegr_steady_xlsx,inlet_condensed_liquid_balance,kg/s,570,0,0,0,0,0,0,1e-10,1,
initial_noegr_10,initial_noegr_steady_xlsx,stack_out_split_mO2,kg/s,570,0,0,0,0,0,0,1e-10,1,
initial_noegr_10,initial_noegr_steady_xlsx,stack_out_split_mN2,kg/s,570,0,0,0,0,0,0,1e-10,1,
initial_noegr_10,initial_noegr_steady_xlsx,splitter_ratio_param_error,1,570,0,0,0,0,0,0,1e-09,1,
initial_noegr_10,initial_noegr_steady_xlsx,summary_pO2In_vs_stack_in,kPa,570,0,0,0,0,0,0,1e-06,1,
initial_noegr_10,initial_noegr_steady_xlsx,summary_xO2In_vs_stack_in,1,570,0,0,0,0,0,0,1e-09,1,
initial_noegr_10,initial_noegr_steady_xlsx,summary_RHIn_vs_stack_in,1,570,0,0,0,0,0,0,1e-07,1,
initial_noegr_10,initial_noegr_steady_xlsx,actual_mIn_excess_over_target,kg/s,570,0,0,0,0,0,0,1e-10,1,
initial_noegr_11,initial_noegr_steady_xlsx,mixer_to_stack_in_mO2,kg/s,646,0,0,0,0,0,0,1e-10,1,
initial_noegr_11,initial_noegr_steady_xlsx,mixer_to_stack_in_mN2,kg/s,646,0,0,0,0,0,0,1e-10,1,
initial_noegr_11,initial_noegr_steady_xlsx,mixer_to_stack_in_mH2Ov_delta,kg/s,646,0,0,0,0,0,0,1e-10,1,
initial_noegr_11,initial_noegr_steady_xlsx,inlet_condensed_liquid_balance,kg/s,646,0,0,0,0,0,0,1e-10,1,
