label,rmse_cell_V,max_abs_error_cell_V,high_current_bias_cell_V,high_current_rmse_cell_V,mean_V_act_V,mean_V_ohm_V,mean_V_conc_V,max_V_conc_V,ohm_resistance_rmse_ohm,mean_R_ohm_total_ohm,mean_R_ohm_target_ohm,max_positive_dV_step,terms_physical,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10
book_reference,5.4301814379495,18.0025996094195,-5.13594149428414,7.88771787690918,1.59010676835641,0.19040073463677,1.74377446500603,16.6067243663147,0.000216277452210894,0.000520584943057642,0.000304326923076923,0,1,0.7084,0.00143,-0.0001527,0.0001043,0.525,0.2173,-302.06,0.000513,5.2e-10,0.0335
current_applied,0.00927060730304169,0.029517324324295,0.0014866476314301,0.0015816301304045,0.398085528582808,0.111704371252475,7.80089739893745e-05,7.80089739893745e-05,3.02933814429881e-06,0.000305205422216412,0.000304326923076923,0,1,0.000287535403388982,0.00036268845416401,-0.00022905,4.94065645841247e-324,0.525,0.2173,-302.06,0.00029762047915877,7.80089739893745e-05,3.15764854558989e-20
oxygen_constrained_refit,0.00927060730304167,0.029517324324295,0.00148664763143014,0.00158163013040454,0.398085528582808,0.111704371252475,7.80089739893745e-05,7.80089739893745e-05,3.02933814429876e-06,0.000305205422216412,0.000304326923076923,0,1,0.000287535403388982,0.00036268845416401,-0.00022905,4.94065645841247e-324,0.525,0.2173,-302.06,0.00029762047915877,7.80089739893745e-05,3.15764854558989e-20
selected_candidate,0.00927060730304167,0.029517324324295,0.00148664763143014,0.00158163013040454,0.398085528582808,0.111704371252475,7.80089739893745e-05,7.80089739893745e-05,3.02933814429876e-06,0.000305205422216412,0.000304326923076923,0,1,0.000287535403388982,0.00036268845416401,-0.00022905,4.94065645841247e-324,0.525,0.2173,-302.06,0.00029762047915877,7.80089739893745e-05,3.15764854558989e-20
