case_id,condition,stop_time_s,is_steady,egr_ratio_cmd,current_A,current_density_A_cm2,V_cell_meas,V_cell_sim,V_cell_err,V_stack_sim,pO2_ref_no_egr_kPa,pO2_ca_in_kPa,pH2O_caIn_kPa,RH_ca_in,T_ca_in_C,T_stack_sim_C,lambda_O2_actual,pressure_order_ok,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_boundary_kPa,Q_gen_W,Q_cool_W,hum_transfer_kg_s,RH_hum_wet_out,pH2O_hum_wet_out_kPa,oxygen_stoich_cmd,dV_cell_30s,dT_stack_30s_C,dRH_ca_in_30s,model_name,pO2_error_kPa,pO2_target_kPa,severe_oxygen_starvation
bench_j0p10,same_current_egr_constant_pO2_qualitative,120,1,0.1,38,0.1,0.80165625,0.796401204564751,-0.00525504543524868,12.742419273036,27.7218202823409,27.6891202801866,18.0687464717812,0.754830235614508,64.0022128156782,61.9019213576037,3.84067642299277,1,153.258908071356,137.492559188687,133.825,278.220067624631,252.976369302342,6.19785834650473e-05,0.256387381232189,5.06330282019109,3.93167393355836,0.000318825128476696,0.274496468479114,0.00787649005559099,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.032700002154268,27.7218202823409,0
bench_j0p10,same_current_egr_constant_pO2_qualitative,120,1,0.2,38,0.1,0.80165625,0.796599577942671,-0.00505667205732852,12.7455932470827,27.7218202823409,27.6760198885109,17.9761513025517,0.750965739479854,64.0021033803954,61.9017925839467,4.21758029824832,1,156.271271491247,138.490417061208,133.825,278.099456610856,252.868736483012,6.58833629120491e-05,0.265151197742888,5.23637160731487,4.42313317525315,0.000318253744864383,0.274507169627263,0.00777741741591476,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.0458003938299569,27.7218202823409,0
bench_j0p10,same_current_egr_constant_pO2_qualitative,120,1,0.3,38,0.1,0.80165625,0.797117068533024,-0.00453918146697574,12.7538730965284,27.7218202823409,27.779358954245,17.7848853558678,0.742985038155172,64.0018183007825,61.9014571267633,5.0539939750428,1,159.271648346744,140.365627538686,133.825,277.784822331921,252.588352299041,7.59436787753045e-05,0.251063596328478,4.95814926719336,5.40605165864274,0.000316859725364327,0.274535420474088,0.00760645861877585,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.0575386719040516,27.7218202823409,0
bench_j0p10,same_current_egr_constant_pO2_qualitative,120,1,0.4,38,0.1,0.80165625,0.797500272480136,-0.00415597751986418,12.7600043596822,27.7218202823409,27.7991009566768,17.6148446790482,0.735888396514024,64.001607197268,61.9012087182957,5.84303888819755,1,162.275237410915,142.192559416141,133.825,277.551834332077,252.380725783615,8.48031358394465e-05,0.241121944868024,4.76180754182887,6.38897014203233,0.000315986111922184,0.274556304666781,0.00741243477181386,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.0772806743358672,27.7218202823409,0
bench_j0p20,same_current_egr_constant_pO2_qualitative,120,1,0.1,76,0.2,0.7726375,0.774371932365648,0.00173443236564785,12.3899509178504,30.4879952347303,30.4590338497562,19.5442456393666,0.752305619183405,65.8262990011871,63.6424054678402,3.10372736949635,1,169.04782417617,150.427246485324,145.925,583.227730243372,370.101135285154,9.56739822735848e-05,0.3112205816243,6.80702189717003,3.19497949681264,0.000143231370507979,0.120415694768788,0.00340902970190993,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.0289613849740746,30.4879952347303,0
bench_j0p20,same_current_egr_constant_pO2_qualitative,120,1,0.2,76,0.2,0.7726375,0.774518734433507,0.00188123443350685,12.3922997509361,30.4879952347303,30.4057786089233,19.4468053179851,0.748560299870614,65.8261373763785,63.6422152813683,3.34377979429418,1,173.159560180462,151.89085050712,145.925,583.049218928856,369.942172532286,9.87651693065466e-05,0.325245094614624,7.11375700453987,3.54997721868071,0.000143016806149698,0.120431748703488,0.0033616936983174,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.0822166258070176,30.4879952347303,0
bench_j0p20,same_current_egr_constant_pO2_qualitative,120,1,0.3,76,0.2,0.7726375,0.775027635652734,0.00239013565273372,12.4004421704437,30.4879952347303,30.4681030114819,19.2342280930491,0.740396077629331,65.8255785932142,63.6415577486822,3.90587748843429,1,177.281093743933,154.638997354582,145.925,582.430395046276,369.392592855421,0.000109354138100783,0.318231967873099,6.96033458053037,4.25997266241685,0.000142479014920371,0.12048864600748,0.00328463480491037,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.0198922232483802,30.4879952347303,0
bench_j0p20,same_current_egr_constant_pO2_qualitative,120,1,0.4,76,0.2,0.7726375,0.775391709194874,0.00275420919487424,12.406267347118,30.4879952347303,30.3882487952251,19.0672950740864,0.733983298235313,65.8251788605038,63.6410873741672,4.41904010222493,1,181.416883206444,157.314194380761,145.925,581.987681619033,368.999443977857,0.00011739327801424,0.317349893798527,6.94101955637614,4.96996810615299,0.000142159611513426,0.120529346089057,0.00320251773296643,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.0997464395051679,30.4879952347303,0
bench_j0p30,same_current_egr_constant_pO2_qualitative,120,1,0.1,114,0.3,0.75044375,0.75902540844213,0.00858165844213021,12.1444065350741,31.3970118733706,31.4291923715275,19.8905666992791,0.720904467026692,67.1821179549272,65.0436778134695,3.17776869884978,1,174.057122331859,155.313053369196,147.425,902.833655001555,538.106600375467,0.000142172068208671,0.343795827553692,7.92231482353446,3.27046183507428,4.60269077262598e-06,0.00387463764440099,0.000104389987891418,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.0321804981569258,31.3970118733706,0
bench_j0p30,same_current_egr_constant_pO2_qualitative,120,1,0.2,114,0.3,0.75044375,0.759137078753545,0.00869332875354512,12.1461932600567,31.3970118733706,31.3539467056667,19.8244833567969,0.718515213717546,67.1819340609511,65.0434614212277,3.35851874180219,1,178.291806336621,157.114780899151,147.425,902.629968353534,537.92573524131,0.000143064089167389,0.359239942244434,8.27819158624937,3.56777654735376,4.5754792997732e-06,0.00385597925026104,0.000102559674967639,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.0430651677038689,31.3970118733706,0
