case_id,current_A,current_density_A_cm2,V_cell_meas,V_cell_sim,V_cell_err,E_rev_V,eta_act_V,eta_ohm_V,eta_con_V,pO2_ca_in_kPa,lambda_O2_actual,T_stack_sim_C,RH_ca_in_vehicle,pH2O_caIn_vehicle_kPa,xH2O_caIn_vehicle,voltage_reconstructed_V,voltage_reconstruction_error_V,high_current_flag
bench_j0p10,38,0.1,0.80165625,0.79737384770663,-0.00428240229336962,1.19606444765461,0.392332102652358,0.0063549736964183,3.52359919948128e-06,27.7201591111012,4.91459241694795,61.9012913953553,0.744640193231308,17.8295188174185,0.118748419986544,0.79737384770663,0,0
bench_j0p20,76,0.2,0.7726375,0.775094596635718,0.00245709663571758,1.19661634141081,0.408260675895538,0.0132559567665347,5.11211302409368e-06,30.4910166504855,3.54997721868071,63.641473162449,0.744321613750689,19.3378518427171,0.11728461505065,0.775094596635718,0,0
bench_j0p30,114,0.3,0.75044375,0.758851999136025,0.00840824913602545,1.19709902789361,0.417781732453177,0.0204578795415753,7.41676283016395e-06,31.4044786659946,2.9731471227948,65.0440132867908,0.723313062769639,19.9557495971155,0.117485038062007,0.758851999136025,0,0
bench_j0p40,152,0.4,0.73384375,0.744097519907662,0.0102537699076622,1.19627361185771,0.424827837257974,0.0273374942940549,1.07603980232135e-05,33.2440353446355,2.38807659696766,66.7288522029024,0.715773123044696,21.2351651664323,0.118026965721709,0.744097519907662,0,0
bench_j0p60,228,0.6,0.7102375,0.715840597247489,0.00560309724748942,1.19316140499074,0.436019453429271,0.0412787049388397,2.26493751355399e-05,36.4398647280051,1.98429552984753,72.1148623339214,0.691533055501976,25.741211952474,0.128913278991181,0.715840597247489,0,0
bench_j0p70,266,0.7,0.701175,0.701710075202024,0.000535075202024449,1.19011031271595,0.440847773291663,0.0475196040247581,3.28601975034568e-05,37.6739728796709,1.8802306717326,75.4301340174881,0.695742829165919,29.7808782824885,0.142078302507354,0.701710075202024,0,0
bench_j0p90,342,0.9,0.68263125,0.682070869655266,-0.000560380344734268,1.18969163965163,0.447553193315384,0.0599984098212914,6.91668596903311e-05,41.4290835372222,1.79201883121889,77.6299593305727,0.677813964391448,31.7026229040336,0.138164995013166,0.682070869655266,0,0
bench_j1p10,418,1.1,0.6660375,0.664508013474816,-0.00152948652518348,1.19125255176494,0.452789923464571,0.0738090267024502,0.000145588123106037,45.6605182968672,1.79251825121533,78.9839432573177,0.63832506527055,31.3335964539222,0.125694594114301,0.664508013474816,0,1
bench_j1p30,494,1.3,0.646875,0.647103268587395,0.000228268587395442,1.19209433994846,0.457129886954584,0.0875547384917144,0.00030644591476952,47.9146467463154,1.78830007309157,80.0027532505338,0.599226747989076,30.4180431554229,0.117386361731466,0.647103268587395,0,1
bench_j1p50,570,1.5,0.62398125,0.630408371603167,0.00642712160316683,1.19312698312459,0.460430050080102,0.101643528751322,0.000645032689998556,47.7729286392054,1.79048061762986,79.8926274900885,0.606996477170034,30.8450397395156,0.119148890189508,0.630408371603167,0,1
bench_j1p70,646,1.7,0.60195,0.61334800086016,0.0113980008601599,1.19370661113668,0.463539413722328,0.115461478434568,0.00135771811962219,47.902115242907,1.79621983471834,80.2939287593826,0.587895768703133,30.2845536224575,0.116958461354919,0.61334800086016,0,1
bench_j1p80,684,1.8,0.59018125,0.605225748541149,0.0150444985411493,1.19457451277373,0.464622593580806,0.12275636418701,0.00196980646476203,47.8445759100005,1.79201883121889,79.7331816714941,0.598701791721692,30.2944449520582,0.117116412652079,0.605225748541149,0,1
bench_j1p90,722,1.9,0.57885625,0.596204844423027,0.0173485944230275,1.19471967826362,0.466020260228474,0.12963673629483,0.00285783731729089,47.8233189263962,1.79242362426864,80.0237431714504,0.594389622393598,30.4297122158397,0.117623976704507,0.596204844423027,0,1
