case_id,condition,stop_time_s,is_steady,egr_ratio_cmd,current_A,current_density_A_cm2,V_cell_meas,V_cell_sim,V_cell_err,V_stack_sim,pO2_ref_no_egr_kPa,pO2_ca_in_kPa,pH2O_caIn_kPa,RH_ca_in,T_ca_in_C,T_stack_sim_C,lambda_O2_actual,pressure_order_ok,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_boundary_kPa,Q_gen_W,Q_cool_W,hum_transfer_kg_s,RH_hum_wet_out,pH2O_hum_wet_out_kPa,oxygen_stoich_cmd,dV_cell_30s,dT_stack_30s_C,dRH_ca_in_30s,model_name,V_cell_target,target_error_V,reference_case_id,reference_current_A
bench_j0p10,constant_voltage_no_egr_scan,120,1,0,28.5,0.075,0.80165625,0.805236704894062,0.00358045489406211,12.883787278305,26.4432593913247,27.7218202823409,17.8218462424718,0.746749542816945,63.9358660882979,61.8238494340984,6.55278988926393,1,150.145570740519,140.133211960297,133.825,204.636062568308,187.722411549481,7.97777770599031e-05,0.145338965536921,2.86868744617594,6.55278988926393,0.00032002352855276,0.28133829226568,0.00803007846342163,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.9,-0.094763295105938,bench_j0p10,38
bench_j0p10,constant_voltage_no_egr_scan,120,1,0,28.5,0.075,0.80165625,0.805236704894062,0.00358045489406211,12.883787278305,26.4432593913247,27.7218202823409,17.8218462424718,0.746749542816945,63.9358660882979,61.8238494340984,6.55278988926393,1,150.145570740519,140.133211960297,133.825,204.636062568308,187.722411549481,7.97777770599031e-05,0.145338965536921,2.86868744617594,6.55278988926393,0.00032002352855276,0.28133829226568,0.00803007846342163,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.85,-0.0447632951059379,bench_j0p10,38
bench_j0p10,constant_voltage_no_egr_scan,120,1,0,34.4,0.0905263157894737,0.80165625,0.800150951220528,-0.00150529877947192,12.8024152195284,26.4432593913247,27.7218202823409,17.8218462424718,0.745377727593323,63.976585960927,61.8717655712919,5.4289102280239,1,150.145570740519,139.568573486882,133.825,249.798516448221,227.771603923519,7.97777770599031e-05,0.170089665245489,3.35833483152961,5.4289102280239,0.000317768874643076,0.277138655976486,0.00789428416676585,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.8,0.000150951220527995,bench_j0p10,38
bench_j0p30,constant_voltage_no_egr_scan,120,1,0,135.4,0.356315789473684,0.75044375,0.750632158924971,0.000188408924970629,12.0101145427995,31.0216598696648,31.3970118733706,19.9905603756373,0.719142380860427,67.351016664914,65.2424260831549,2.50324056128957,1,169.856965499125,151.732322746388,147.425,1090.49609090494,704.223449256618,0.000139137189224618,0.398946755779941,9.20563999161392,2.50324056128957,2.57431064957236e-05,0.0215343296272295,0.000582587112555655,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.75,0.000632158924970594,bench_j0p30,114
bench_j0p70,constant_voltage_no_egr_scan,300,1,0,274.3,0.721842105263158,0.701175,0.699175023807672,-0.00199997619232761,11.1868003809228,37.8824825789663,37.5933926596215,30.1582546403317,0.700852230605735,77.5793420037665,75.5297025150195,1.82333707138488,1,209.601656356902,183.523925643434,183.325,2435.01585551289,1947.57059299153,0.000241994478416838,0.518506392138753,18.5308421492047,1.82333707138488,3.42755578177645e-05,0.0291830073781085,0.000728630521756313,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.7,-0.000824976192327576,bench_j0p70,266
