case_id,condition,stop_time_s,is_steady,egr_ratio_cmd,current_A,current_density_A_cm2,V_cell_meas,V_cell_sim,V_cell_err,V_stack_sim,pO2_ref_no_egr_kPa,pO2_ca_in_kPa,pH2O_caIn_kPa,RH_ca_in,T_ca_in_C,T_stack_sim_C,lambda_O2_actual,pressure_order_ok,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_boundary_kPa,Q_gen_W,Q_cool_W,hum_transfer_kg_s,RH_hum_wet_out,pH2O_hum_wet_out_kPa,oxygen_stoich_cmd,dV_cell_30s,dT_stack_30s_C,dRH_ca_in_30s,model_name,severe_oxygen_starvation
bench_j0p10,same_current_egr_ratio_qualitative,120,1,0,38,0.1,0.80165625,0.79737400925938,-0.00428224074062011,12.7579841481501,26.4432593913247,27.7218202823409,17.8218462424718,0.744533936737798,64.001675099431,61.9012886237828,4.91459241694795,1,150.145570740519,139.223633518458,133.825,277.628602370297,252.447509557986,7.97777770599031e-05,0.185212990770556,3.65768908938133,4.91459241694795,0.000316081337139562,0.274547993330074,0.00781078630003029,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p10,same_current_egr_ratio_qualitative,120,1,0.1,38,0.1,0.80165625,0.79721503923913,-0.00444121076087001,12.7554406278261,26.4432593913247,27.8492661644267,17.8373877708735,0.745180268144702,64.0017624645737,61.9013914280872,4.82422502948664,1,153.189673339493,139.317270264297,133.825,277.725256142609,252.533435745457,7.67013022152164e-05,0.2101724894011,4.15060611266376,4.91459241694795,0.000316508986262232,0.274539128669105,0.00777210970552156,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p10,same_current_egr_ratio_qualitative,120,1,0.2,38,0.1,0.80165625,0.797007296423708,-0.00464895357629203,12.7521167427793,26.4432593913247,27.8231827824128,17.8615010445909,0.746183785851476,64.0018766398799,61.90152578043,4.70976992373905,1,156.241673875999,139.399323710547,133.825,277.851563774386,252.645730517184,7.3115727096902e-05,0.240136573104754,4.7423583525402,4.91459241694795,0.000317099850916769,0.274527542657303,0.00772349659325333,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p10,same_current_egr_ratio_qualitative,120,1,0.3,38,0.1,0.80165625,0.796726394628465,-0.00492985537153501,12.7476223140554,26.4432593913247,27.575733207223,17.8977133265393,0.747691382392736,64.0020310355005,61.9017074607829,4.56108533132247,1,159.30085954598,139.46735357151,133.825,278.022352065893,252.797583151048,6.88037718956866e-05,0.277113209996174,5.47260165932238,4.91459241694795,0.000317956173822243,0.274511874698341,0.00766077586618474,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p10,same_current_egr_ratio_qualitative,120,1,0.4,38,0.1,0.80165625,0.796328039944061,-0.0053282100559392,12.741248639105,26.4432593913247,26.9931892339431,17.9517666405839,0.749942089735266,64.0022500155234,61.9019651388009,4.36131077413026,1,162.366416071904,139.517233292684,133.825,278.264551714011,253.01295644414,6.34156351373406e-05,0.324308359660748,6.40465191644039,4.91459241694795,0.000319283934368197,0.274489654810743,0.00757707194558677,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p20,same_current_egr_ratio_qualitative,120,1,0,76,0.2,0.7726375,0.775094208124761,0.00245670812476095,12.4015073299962,30.0894111979557,30.4879952347303,19.3519054148158,0.744928441396202,65.825502399331,63.6414680972497,3.54997721868071,1,164.879328969615,151.641024355288,145.925,582.349442920291,369.317653930263,0.000111476663091183,0.255222588381256,5.58219693295351,3.54997721868071,0.0001425284896166,0.120493282203746,0.00340025533398702,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p20,same_current_egr_ratio_qualitative,120,1,0.1,76,0.2,0.7726375,0.774847244209679,0.00220974420967912,12.3975559073549,30.0894111979557,30.5698523993435,19.3901669147195,0.746392268226229,65.8257728681437,63.641786365698,3.45883517700816,1,169.013734682574,151.777727154542,145.925,582.64975104103,369.583667962511,0.00010556663324862,0.287162915024506,6.28080552555075,3.54997721868071,0.000142728194180264,0.120465073149347,0.00338302299158677,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p20,same_current_egr_ratio_qualitative,120,1,0.2,76,0.2,0.7726375,0.774518741102664,0.0018812411026643,12.3922998576426,30.0894111979557,30.4057786069482,19.4468052531638,0.748560457065474,65.8261325932469,63.6422096647033,3.34377980469915,1,173.15956008018,151.890849108076,145.925,583.04921081916,369.937468181683,9.87651738136191e-05,0.325244955050552,7.11375367732796,3.54997721868071,0.00014301176299325,0.120427503868349,0.00336157634609202,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p20,same_current_egr_ratio_qualitative,120,1,0.3,76,0.2,0.7726375,0.774064313786812,0.00142681378681153,12.385029020589,30.0894111979557,29.8868670195913,19.5291894175626,0.751714966524679,65.8266301380448,63.6427951403367,3.19476371194466,1,177.315241887092,151.975602764817,145.925,583.601794435237,370.426818124044,9.06883977350565e-05,0.371871243060974,8.13359594531679,3.54997721868071,0.00014343855950405,0.120375453298202,0.00333412951393397,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
bench_j0p20,same_current_egr_ratio_qualitative,120,1,0.4,76,0.2,0.7726375,0.773398821799654,0.000761321799653825,12.3743811487945,30.0894111979557,28.8304993564203,19.6491908275637,0.756309470941304,65.8273586418948,63.6436523926224,2.99509427375618,1,181.47892228313,152.023893172826,145.925,584.411032691621,371.143323087166,8.07273700778595e-05,0.430816435374125,9.42290506146728,3.54997721868071,0.000144138113193915,0.120299076773186,0.00329771982547189,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0
